smiles,homo_eV
c1ccc(cn1)-c1cc2[se]c3c(cnc4ccc5nsnc5c34)c2c2nsnc12,-6.11
c1cc2cnc3c4[SiH2]C(=Cc4sc3c2c2cocc12)c1cccc2=CCC=c12,-5.15
c1cc2c3nsnc3c3c(ccc4cc(cnc34)-c3ncncn3)c2cn1,-6.34
c1ccc(cc1)-c1ccc(cn1)-c1ncc(s1)-c1ncncn1,-6.17
c1cc2c(o1)c1c3cocc3c3cc(-c4ncncn4)c4c[nH]cc4c3c1c1=C[SiH2]C=c21,-5.07
c1cc2cnc3c(cnc4cc(-c5ncncn5)c5nsnc5c34)c2c2nsnc12,-6.37
c1cc2oc3c(cnc4cc(oc34)-c3ncncn3)c2cn1,-6.46
[nH]1ccc2[nH]c3c4CC(=Cc4c4c[nH]cc4c3c12)c1scc2cc[nH]c12,-4.12
[nH]1c(cc2sc3c(cnc4ccoc34)c12)-c1scc2[nH]ccc12,-4.9
[nH]1c2ccsc2c2sc3cc(-c4scc5CC=Cc45)c4ccccc4c3c12,-5.15
[nH]1-c2c(-c3c1ccc1c[nH]cc31)c1c[nH]cc1c1ccc3c[nH]cc3c21,-4.32
[nH]1c2C3=C([SiH2]c2c2c1cc(C1=CC=CC1)c1c[nH]cc21)C=CC3,-4.41
c1sc(-c2ccc3c(c2)ncc2c4cnccc4c4cocc4c32)c2nccnc12,-5.71
[nH]1c2C=C(Cc2c2[nH]c3ccc4c[nH]cc4c3c12)c1cccc2c[nH]cc12,-4.14
c1cc2cc3c4nsnc4c4cc(oc4c3cc2c2nsnc12)-c1ncncn1,-6.15
[nH]1cccc1C1=Cc2c(C1)c1ccc3ccc4=CCC=c4c3c1c1nsnc21,-4.94
c1ccc(-c2cc3ccc4c(cnc5ccc6cocc6c45)c3c3cocc23)c2nsnc12,-5.46
c1sc(c2[SiH2]C=Cc12)-c1cc2c3nsnc3c3c(ccc4cccnc34)c2cn1,-5.78
c1cc2c3nsnc3c3c4sc(cc4ccc3c2c2nsnc12)-c1ncncn1,-6.18
c1Cc(cc1)-c1ccc([se]1)-c1Cc(cc1)-c1scc2ccsc12,-4.81
c1cc2ncc3c(cnc4cc(-c5cccc6nsnc56)c5nsnc5c34)c2s1,-6.01
c1cc2ccc3c(c4nsnc4c4cc(-c5nccc6nsnc56)c5nsnc5c34)c2o1,-5.95
c1cc2ncc3c4ccc(cc4c4cocc4c3c2s1)-c1cccc2nsnc12,-5.74
[nH]1c2-c3sc(cc3Cc2c2c1ccc1=CCC=c21)-c1cccc2c[nH]cc12,-4.51
c1sc(-c2ccc(-c3ccc(cc3)-c3ccccn3)c3ccccc23)c2ccCc12,-5.46
c1sc(-c2ccc([se]2)-c2ccc(s2)-c2scc3sccc23)c2ccoc12,-5.01
[nH]1ccc2c1c1CC(=Cc1c1=CCC=c21)c1scc2[nH]ccc12,-4.3
[nH]1c2ccc3cscc3c2c2c1c1cnc(cc1c1ccccc21)-c1nccs1,-5.32
c1cc2ncc3c4ccc(cc4ncc3c2c2nsnc12)-c1ncncn1,-6.5
c1cc2cnc3c4ncc(cc4c4nsnc4c3c2o1)-c1scc2cc[se]c12,-5.57
c1cnc(-c2cnc3c(c2)oc2cc4ccc5ccccc5c4cc32)c2nsnc12,-5.85
c1cc2ccc3cc(-c4cccc5c[nH]cc45)c4=C[SiH2]C=c4c3c2o1,-5.06
c1cnc(s1)-c1ccc(-c2ccc(-c3nccc4nsnc34)c3c[nH]cc23)c2cscc12,-5.14
c1sc(-c2sc(-c3ccc(cc3)-c3ccccc3)c3[nH]ccc23)c2ccoc12,-4.82
C1=Cc2ncc3cc4cc(cnc4cc3c2[SiH2]1)-c1cncs1,-5.84
[nH]1ccc2[nH]c3c4oc(cc4[nH]c3c12)-c1scc2sccc12,-4.34
[nH]1c(cc2[nH]c3c4[se]ccc4c4=CCC=c4c3c12)-c1cccc2=C[SiH2]C=c12,-4.63
c1sc(-c2Cc(cc2)-c2ccc(s2)-c2cccc3cscc23)c2cc[SiH2]c12,-4.97
c1cnc2cc(-c3cnc4ccncc4c3)c3nsnc3c2c1,-6.36
c1ccc2c(c1)[se]c1c2cnc2cc(ncc12)-c1cncc2nsnc12,-6.2
C1=Cc2c(C1)c1CC(=Cc1c1c[nH]cc21)c1scc2occc12,-4.46
c1cc2oc3c(ccc4cc(ncc34)-c3nccc4nsnc34)c2cn1,-6.06
[nH]1ccc2c1cc(-c1cc3[SiH2]C=Cc3c3nsnc13)c1nsnc21,-5.6
[nH]1ccc2[se]c3c4CC(=Cc4[nH]c3c12)c1ccco1,-4.46
c1cc2oc3c(ccc4cc(ncc34)-c3nccc4nsnc34)c2s1,-5.81
c1cc2ncc3cc(cnc3c2s1)-c1ccccc1,-6.15
[nH]1c(cc2ncc3c4[SiH2]C=Cc4c4nsnc4c3c12)-c1nccs1,-5.69
C1=CC=C([SiH2]1)c1cc2ncc3c4cnccc4c4nsnc4c3c2o1,-5.85
c1ccc(nc1)-c1cnc2c(cnc3c4cnccc4ncc23)c1,-6.33
[nH]1c2ccc3c[nH]cc3c2c2[nH]c3cc(C4=CC=CC4)c4c[nH]cc4c3c12,-4.19
c1cnc2c3sc4cc([se]c4c3c3=C[SiH2]C=c3c2c1)-c1ncncn1,-5.73
[nH]1c-2c(Cc3ccc4c[nH]cc4c-23)c2c1cc(-c1scc3cc[se]c13)c1=CCC=c21,-4.45
[nH]1c(cc2[SiH2]c3c(-c12)c1=CCC=c1c1cc[nH]c31)-c1ccccn1,-4.65
c1ccc(cn1)-c1cc2cnccc2c2ccccc12,-6.09
c1sc(c2C=CCc12)-c1ccc2cc3c(cc2c1)c1nsnc1c1cccnc31,-5.56
[nH]1ccc2[se]c3c(oc4cc([nH]c34)-c3scc4C=C[SiH2]c34)c12,-4.8
c1sc(-c2sc(-c3sc(-c4scc5cc[nH]c45)c4cc[nH]c34)c3[nH]ccc23)c2ccCc12,-4.41
C1=Cc2cc3oc4cc(-c5cncc6nsnc56)c5=C[SiH2]C=c5c4c3cc2C1,-5.27
c1sc(-c2Cc(cc2)-c2sc(-c3scc4occc34)c3cc[nH]c23)c2cc[nH]c12,-4.31
[nH]1c(cc2c1c1c3cscc3c3ccsc3c1c1ccccc21)-c1ccco1,-5.03
[nH]1c(ccc1-c1cncc2nsnc12)-c1sc(-c2scc3ccCc23)c2cc[nH]c12,-4.82
C1=Cc2cnc3c(oc4cc(-c5ccccc5)c5cscc5c34)c2C1,-5.33
c1cnc(s1)-c1cnc2c3sccc3ncc2c1,-6.15
c1[SiH2]c2c(-c1)c1cocc1c1c3ncccc3c3c[nH]cc3c21,-5.08
C1=Cc2ccc3c4CC(=Cc4oc3c2C1)c1ccccn1,-5.13
c1cc2sc3c(cnc4cc(-c5ncncn5)c5cocc5c34)c2[se]1,-5.74
c1ncc(s1)-c1ccc2c3cnccc3c3=C[SiH2]C=c3c2c1,-5.92
c1cnc(s1)-c1sc(-c2sc(-c3scc4[nH]ccc34)c3[nH]ccc23)c2ccoc12,-4.56
[nH]1c(cc2c1c1oc3ccc4nsnc4c3c1c1=CCC=c21)C1=CC=CC1,-4.76
c1cc2cc3[se]c4cc([se]c4c3cc2[se]1)-c1nccc2nsnc12,-5.54
[nH]1c(cc2Cc3c([nH]c4cc[nH]c34)-c12)-c1cccc2=CCC=c12,-4.22
C1=CC=C([SiH2]1)c1cc2cnc3ccc4nsnc4c3c2[se]1,-5.81
[nH]1cccc1-c1cc2sc3cc4ccc5nsnc5c4cc3c2c2=C[SiH2]C=c12,-5.29
c1cc2cnc3c(c4cocc4c4cc(-c5scc6cc[nH]c56)c5ccccc5c34)c2o1,-5.09
c1cc2c3cscc3c3c4cnc(cc4ccc3c2c2nsnc12)-c1ncncn1,-5.84
c1cc2ncc3c(ccc4cc(ccc34)-c3cccc4ccccc34)c2o1,-5.79
[nH]1c2cc[se]c2c2c3c[nH]cc3c3C=C(Cc3c12)c1scc2cc[nH]c12,-4.31
[nH]1c2C=C(Cc2c2[nH]c3ccc4c[nH]cc4c3c12)c1scc2[nH]ccc12,-4.01
[nH]1-c2ccc3cscc3c2-c2[se]c3ccc4cocc4c3c12,-5.05
c1ccc([se]1)-c1cnc2c(c1)c1nsnc1c1c2ncc2ccc3nsnc3c12,-5.97
[nH]1ccc2c1c1c3c[nH]cc3c3cc(oc3c1c1=C[SiH2]C=c21)C1=CC=CC1,-4.56
C1=CC=C([SiH2]1)c1cc2ccc3c(oc4ccc5ccccc5c34)c2c2nsnc12,-5.55
c1cc2ncc3c4cnc(cc4cnc3c2[se]1)-c1ccccn1,-6.16
[nH]1ccc2Cc3c(-c12)c1c[nH]cc1c1cc(-c2cccc4c[nH]cc24)c2cscc2c31,-4.48
c1cc2c3cscc3c3c4oc(cc4sc3c2s1)-c1cccc2cscc12,-5.1
[nH]1ccc2[nH]c3c4CC(=Cc4c4c[nH]cc4c3c12)c1scc2cc[se]c12,-4.25
[nH]1c2C=C(Cc2c2[nH]c3ccc4cocc4c3c12)c1scc2[nH]ccc12,-4.2
c1sc(-c2ncc(s2)-c2sc(-c3scc4cc[nH]c34)c3ccoc23)c2[nH]ccc12,-4.79
[nH]1c2C=C(Cc2c2oc3ccc4c[nH]cc4c3c12)c1cccc2c[nH]cc12,-4.28
c1sc(-c2sc(c3[SiH2]ccc23)-c2cccc3cscc23)c2cc[nH]c12,-4.98
[nH]1ccc2[nH]c3-c4oc(cc4Cc3c12)-c1scc2[se]ccc12,-4.4
c1cc2sc3cc4cc(-c5ncncn5)c5nsnc5c4cc3c2[se]1,-5.94
c1cc2ncc3c([SiH2]c4ccc5nsnc5c34)c2cn1,-6.28
[nH]1ccc2sc3c4[nH]c(cc4[nH]c3c12)-c1cccc2cocc12,-4.53
c1cc2[SiH2]c3c(ccc4ccc5ccccc5c34)-c2cn1,-5.89
c1Cc(cc1)-c1sc(-c2ccc(nc2)-c2nccs2)c2nccnc12,-5.24
c1cnc2c(c1)c1nsnc1c1c3[SiH2]C(=Cc3c3nsnc3c21)c1ncncn1,-6.16
c1cc2cnc3c4[se]c(cc4sc3c2cn1)-c1ncncn1,-6.18
C1=Cc2cnc3cc(cnc3c2[SiH2]1)-c1ccccn1,-6.1
c1sc(-c2cc3cc4c(cc3c3nsnc23)c2cnccc2c2=CCC=c42)c2[se]ccc12,-5.43
C1=Cc2c([SiH2]1)c1oc3cc([se]c3c1c1c[nH]cc21)-c1ccccc1,-4.89
c1cc2cn-c3c([SiH2]c4ccc5nsnc5c34)-c2cn1,-6.11
c1cnc2c(c1)c1nsnc1c1cc(ccc21)-c1ncncn1,-6.54
c1cnc2c(cnc3c4ncc(cc4c4nsnc4c23)-c2ncncn2)c1,-6.44
c1cnc2c(cnc3c4cnc(cc4cnc23)-c2cccnc2)c1,-6.17
c1cc2ncc3cc(-c4ncncn4)c4nsnc4c3c2o1,-6.35
c1ccc(nc1)-c1cc2ncc3c([se]c4ccc5nsnc5c34)c2cn1,-6.13
c1ccc(o1)-c1ccc2c(ccc3c4cnccc4ncc23)c1,-5.86
c1ccc(nc1)-c1cc2oc3c(cnc4ccncc34)c2c2nsnc12,-6.14
c1ccc([se]1)-c1sc(c2[SiH2]ccc12)-c1ccc(-c2ncncn2)c2nsnc12,-5.64
c1ccc(cc1)-c1cc2c3nsnc3c3c4ncccc4c4cscc4c3c2cn1,-5.69
[nH]1c(ccc1-c1cccc2c[SiH2]cc12)-c1sc(-c2scc3cc[se]c23)c2sccc12,-4.86
c1sc(c2C=CCc12)-c1cnc2c3sc4ccc5=C[SiH2]C=c5c4c3ccc2c1,-5.35
c1cc2cc3c4cscc4c4ccc5nsnc5c4c3cc2c2nsnc12,-5.94
[nH]1ccc2Cc3c4CC(=Cc4[nH]c3-c12)c1ccco1,-4.21
c1ccc([se]1)C1=Cc2c([SiH2]1)c1cnc3ccc4nsnc4c3c1c1c[nH]cc21,-5.25
c1Cc(cc1)-c1sc(c2[SiH2]ccc12)-c1sc(-c2cccnc2)c2[nH]ccc12,-4.93
c1ccc(cn1)-c1cnc2ccncc2c1,-6.52
c1cc2ncc3c4ncc(cc4c4nsnc4c3c2c2nsnc12)-c1ncncn1,-6.49
[nH]1c2ccc3=C[SiH2]C=c3c2c2c3nsnc3c3cc(sc3c12)-c1scc2ccsc12,-5.03
C1=Cc2oc3c(sc4cc(-c5scc6CC=Cc56)c5=CCC=c5c34)c2[SiH2]1,-4.88
c1ccc([se]1)-c1ncc(-c2cnc(s2)-c2scc3[nH]ccc23)c2nsnc12,-5.08
c1ccc(cn1)-c1ccc(cn1)-c1cncc2nsnc12,-6.28
c1ccc(s1)-c1ccc(-c2ncc(s2)-c2cccc3c[SiH2]cc23)c2c[nH]cc12,-5.06
c1sc(-c2cc3c4cscc4c4ccc5ccccc5c4c3s2)c2CC=Cc12,-5.24
c1sc(-c2cc3cnc4c(ncc5ccc6ccccc6c45)c3o2)c2cc[se]c12,-5.4
c1cc2ccc3c4cnc(cc4[se]c3c2[se]1)-c1cccc2=C[SiH2]C=c12,-5.37
c1cc2c(s1)c1[SiH2]C(=Cc1c1=CCC=c21)c1scc2[nH]ccc12,-4.65
[nH]1c2cc(cnc2c2ncc3ccncc3c12)-c1ncncn1,-6.25
[nH]1ccc2cc3c4nsnc4c4cc(ccc4c3cc12)-c1nccs1,-5.65
[nH]-1cc-c2c-1c1oc3ccc4cCcc4c3c1c1c[nH]cc21,-4.53
[nH]1cccc1C1=Cc2[nH]c3c4[se]ccc4[nH]c3c2C1,-4.3
c1cc2cnc3c4cnc(cc4ncc3c2c2nsnc12)-c1ncncn1,-6.49
[nH]1c(cc2ncc3c4cnccc4oc3c12)-c1cncc2nsnc12,-5.91
c1cc2cnc3c(cnc4cc(ncc34)-c3scc4nccnc34)c2s1,-5.75
[nH]1ccc2Cc3c(-c12)c1=CCC=c1c1cc([nH]c31)C1=CC=CC1,-4.3
[nH]1c(cc2Cc3c4CC=Cc4[nH]c3-c12)-c1scc2C=CCc12,-4.29
[nH]1c2ccncc2c2sc3cc(cnc3c12)-c1scc2[SiH2]C=Cc12,-5.72
c1cc2cnc3cc(-c4ccccc4)c4nsnc4c3c2[se]1,-5.98
c1ccc(cc1)-c1cc2cnc3c(ccc4ccc5nsnc5c34)c2c2nsnc12,-5.95
c1ccc(nc1)-c1cc2cc3c4nsnc4c4ccncc4c3cc2c2=CCC=c12,-5.47
c1cc2ncc3c(oc4cc(-c5ncncn5)c5nsnc5c34)c2cn1,-6.42
c1cc2c3nsnc3c3cc4C=C([SiH2]c4cc3c2cn1)c1ncncn1,-6.34
[nH]1ccc2[nH]c3c4CC(=Cc4c4cocc4c3c12)c1scc2cc[nH]c12,-4.32
[nH]1ccc2c3c[nH]cc3c3c4CC(=Cc4[nH]c3c12)c1scc2ccoc12,-4.22
c1cc2sc3c(cnc4cc(oc34)-c3ncncn3)c2cn1,-6.42
c1cnc2cc(ncc2c1)-c1cncc2nsnc12,-6.39
C1=CC=C([SiH2]1)c1cc2ncc3c4cnccc4c4nsnc4c3c2cn1,-5.93
[nH]1ccc2[nH]c3c4CC(=Cc4[nH]c3c12)c1scc2sccc12,-4.18
C1=Cc2c(C1)c1oc3C=C(Cc3c1c1cocc21)c1scc2[nH]ccc12,-4.41
C1=Cc2cnc3c4[se]c(cc4c4cocc4c3c2[SiH2]1)-c1nccc2nsnc12,-5.6
c1cc2cnc3c4cnc(cc4cnc3c2[se]1)-c1ncncn1,-6.23
c1ccc(cn1)-c1cc2sc3c(ncc4ccc5ccccc5c34)c2c2nsnc12,-5.86
c1cnc(s1)-c1cc2cc3ccc4ccccc4c3cc2o1,-5.72
[nH]1c(cc2cnc3c4CC=Cc4ncc3c12)-c1ncncn1,-5.88
c1cc2ncc3c([se]c4cc(-c5ncncn5)c5nsnc5c34)c2c2nsnc12,-6.33
c1sc(-c2ccc(nc2)-c2nccc3nsnc23)c2[se]ccc12,-5.6
c1cc2ncc3c4CC(=Cc4cnc3c2cn1)c1ncncn1,-6.37
[nH]1ccc2[nH]c3c(c12)c1=CCC=c1c1cc(-c2scc4ccsc24)c2c[nH]cc2c31,-4.41
[nH]1cccc1-c1cc2c3c[nH]cc3c3-c4[nH]ccc4Cc3c2c2=CCC=c12,-4.35
C1=Cc2cnc(cc2[SiH2]1)-c1ncncn1,-6.5
c1cnc2c(c1)[se]c1c2ncc2cc(oc12)-c1ncncn1,-6.31
c1cnc2cc3C=C([SiH2]c3cc2c1)c1ncncn1,-6.34
C1=Cc2ncc3c(ncc4cc(ncc34)-c3cccc4nsnc34)c2[SiH2]1,-6.09
[nH]1c(cc2cc3ccc4ccncc4c3cc12)-c1cccc2=C[SiH2]C=c12,-5.4
[nH]1c2C=CCc2c2Cc3cc(-c4scc5cc[nH]c45)c4c[nH]cc4c3-c12,-4.24
c1cc2ccc3c4[SiH2]C(=Cc4sc3c2[se]1)c1scc2ccoc12,-5.18
C1=Cc2c(C1)c1sc3cc(oc3c1c1ccccc21)-c1ncncn1,-5.49
c1sc(c2C=CCc12)-c1cnc2c(c1)sc1c2[se]c2ccc3=C[SiH2]C=c3c12,-5.33
c1cc2ncc3c(c4nsnc4c4cc(-c5ncncn5)c5=C[SiH2]C=c5c34)c2cn1,-5.87
c1cc2cc3-ncc4ccc5cocc5c4-c3cc2s1,-5.61
c1cc2sc3c(cnc4cc(sc34)-c3cncc4nsnc34)c2c2nsnc12,-5.98
c1cc2c3c[nH]cc3c3c4[SiH2]C(=Cc4sc3c2[se]1)c1cccc2c[nH]cc12,-4.74
c1sc(-c2cc3c4c[nH]cc4c4ccc5c[nH]cc5c4c3s2)c2CC=Cc12,-4.64
c1sc(-c2Cc(cc2)-c2ccc(cc2)-c2scc3ccsc23)c2sccc12,-4.89
[nH]1cccc1-c1cc2oc3c4occc4c4c[nH]cc4c3c2o1,-4.62
c1cnc(s1)-c1cc2sc3c(ncc4cccnc34)c2c2nsnc12,-5.96
C1=CC=C(C1)C1=Cc2c(C1)c1c3nsnc3c3ccoc3c1c1=CCC=c21,-4.78
c1cc2c([se]1)c1[SiH2]C(=Cc1c1=CCC=c21)c1scc2cc[se]c12,-4.89
c1cnc(s1)-c1ncc(-c2ccc(nc2)-c2nccc3nsnc23)c2nsnc12,-6.08
C1=CC=C(C1)c1cc2[se]c3c4CC=Cc4sc3c2o1,-4.86
[nH]1ccc2[nH]c3c([nH]c4cc(C5=CC=C[SiH2]5)c5c[nH]cc5c34)c12,-4.27
[nH]1c2cc(-c3scc4C=C[SiH2]c34)c3cocc3c2c2sc3ccc4c[nH]cc4c3c12,-4.83
C1=Cc2c(C1)c1cc3CC(=Cc3cc1c1cocc21)c1cccc2cocc12,-4.97
c1cnc(s1)-c1cc2cnc3cc4ccc5nsnc5c4cc3c2o1,-5.89
c1ccc(cn1)-c1cnc2c(ccc3c2cnc2ccc4nsnc4c32)c1,-6.31
c1ccc2c(c1)ncc1c3cnc(cc3cnc21)-c1cccc2nsnc12,-6.13
c1cc2oc3c(ncc4cc(ccc34)-c3cccc4c[nH]cc34)c2[se]1,-5.19
c1ccc(s1)-c1cnc2c(c1)sc1ccncc21,-6.04
c1cc2[SiH2]c3c(-c2c2cocc12)c1c[nH]cc1c1ccc2cscc2c31,-4.88
c1ncc(s1)-c1cnc(s1)-c1sc(-c2cccc3cscc23)c2cc[se]c12,-5.29
[nH]1ccc2c3nsnc3c3cc(-c4cncs4)c4cscc4c3c12,-5.51
[nH]1cccc1-c1cc2c3cscc3c3cc4cccnc4cc3c2c2cscc12,-5.19
[nH]1ccc2[nH]c3c4[se]c(cc4[nH]c3c12)C1=CC=C[SiH2]1,-4.49
C1=CC=C(C1)c1cc2c3ccccc3c3c4[SiH2]C=Cc4sc3c2c2=CCC=c12,-4.93
c1ccc(o1)C1=Cc2c([SiH2]1)c1c3nsnc3c3cccnc3c1c1=C[SiH2]C=c21,-5.21
c1cc2cnc3c(oc4cc(-c5scc6C=CCc56)c5=CCC=c5c34)c2o1,-5.09
c1sc(c2[SiH2]C=Cc12)-c1cnc2c3[se]c4ccncc4c3c3ccccc3c2c1,-5.82
c1cnc2-c3-ncc4ccc5nsnc5c4-c3cn-c2c1,-6.36
[nH]1c(cc2c1c1[se]c3ccncc3c1c1=C[SiH2]C=c21)-c1cncc2nsnc12,-5.31
[nH]1c2-c3cnccc3Cc2c2c1cc(-c1scc3nccnc13)c1c[nH]cc21,-4.78
[nH]1ccc2cnc3cc(ccc3c12)-c1cccnc1,-5.84
[nH]1c(cc2ccc3c([nH]c4ccc5c[nH]cc5c34)c12)C1=CC=CC1,-4.61
[nH]1ccc2CC(=Cc12)C1=Cc2c(C1)ccc1=CCC=c21,-4.43
c1ccc2cc(ncc2c1)-c1cc2c(ccc3=C[SiH2]C=c23)c2c[nH]cc12,-4.91
C1=Cc2cc3ccc(cc3cc2[SiH2]1)-c1ncncn1,-6.08
c1cnc(s1)-c1cc2cc3cnc4ccsc4c3cc2c2nsnc12,-5.88
c1cnc2c(c1)ncc1c2cnc2cc(-c3ncncn3)c3nsnc3c12,-6.47
[nH]1c2C=C(Cc2c2c3c[nH]cc3c3C=CCc3c12)c1cccc2c[nH]cc12,-4.2
c1cc2ncc3c(cnc4cc(cnc34)-c3ccccc3)c2[se]1,-6.12
C1=CC=C(C1)c1cc2c3cocc3c3c4cnccc4oc3c2s1,-5.24
c1sc(c2Cccc12)-c1ccc(-c2ccc(cn2)-c2scc3cc[nH]c23)c2c[SiH2]cc12,-5.1
c1ccc2c(c1)c1nsnc1c1c3sc(cc3ncc21)-c1ncncn1,-6.34
c1cc2c3cscc3c3c4CC(=Cc4ncc3c2o1)c1cccc2cocc12,-5.23
c1sc(c2Cccc12)-c1sc(-c2ccc(cn2)-c2ccccn2)c2sccc12,-5.15
c1cnc2c(ccc3c4cnc(cc4c4=CCC=c4c23)-c2cccnc2)c1,-5.53
c1ncc(s1)-c1cc2ncc3c4cnccc4ccc3c2cn1,-6.19
c1sc(-c2sc(-c3sc(-c4ccccn4)c4nccnc34)c3[nH]ccc23)c2cc[nH]c12,-4.56
[nH]1c(cc2c3cscc3c3c(ccc4cccnc34)c12)-c1ccco1,-5.06
C1=Cc2c(C1)c1sc3cc([se]c3c1c1nsnc21)-c1scc2sccc12,-5.2
[nH]1ccc2cc3[nH]c4cc(-c5scc6sccc56)c5c[nH]cc5c4c3cc12,-4.59
c1cnc(s1)-c1cnc(-c2ccc(-c3ncncn3)c3nsnc23)c2nsnc12,-6.14
c1ccc(cc1)-c1ccc(s1)-c1ccc(o1)-c1cccc2cCcc12,-4.92
[nH]1cccc1-c1ccc([nH]1)-c1sc(-c2scc3[nH]ccc23)c2[nH]ccc12,-4.29
c1cnc2c3[se]c(cc3cnc2c1)-c1ncncn1,-6.36
c1cc2cc3c4ccccc4c4cc(-c5scc6occc56)c5cocc5c4c3cc2o1,-5.19
[nH]1cccc1-c1Cc(cc1)-c1ccc(s1)-c1scc2[nH]ccc12,-4.48
C1=Cc2c(C1)c1sc3cc(sc3c1c1c[nH]cc21)-c1scc2[nH]ccc12,-4.52
c1ccc(cc1)-c1ccc(nc1)-c1ncc(s1)-c1ncncn1,-6.22
c1sc(-c2[SiH2]c(cc2)-c2sc(-c3cccc4c[nH]cc34)c3cc[se]c23)c2occc12,-4.71
C1=Cc2c([SiH2]1)c1ncc3cc([se]c3c1c1nsnc21)-c1cccc2cscc12,-5.57
c1sc(c2CC=Cc12)-c1ccc2c(c1)ncc1c2ncc2ccc3c[nH]cc3c12,-5.41
c1cnc(s1)-c1sc(-c2ccc(s2)-c2ncncn2)c2ccoc12,-5.5
c1cc2ncc3c4ncc(cc4c4nsnc4c3c2o1)-c1cncs1,-6.17
C1=Cc2ncc3c4ccc(cc4c4=CCC=c4c3c2[SiH2]1)-c1cncs1,-5.69
c1ncc(-c2cnc(s2)-c2ccc(-c3cncc4nsnc34)c3nsnc23)c2nsnc12,-5.94
c1Cc(cc1)-c1sc(-c2sc(-c3scc4cc[nH]c34)c3[nH]ccc23)c2ccCc12,-4.52
c1cc2sc3cc(-c4ncncn4)c4nsnc4c3c2c2nsnc12,-6.25
c1ccc(-c2cc3oc4c(ncc5ccc6cscc6c45)c3[se]2)c2cocc12,-5.36
c1cc2c3cocc3c3c4sc(cc4ncc3c2c2nsnc12)-c1ncncn1,-6.01
[nH]1ccc2[nH]c3c4[SiH2]C(=Cc4[nH]c3c12)c1cccc2c[nH]cc12,-4.28
[nH]1ccc2[nH]c3c4[nH]c(cc4[nH]c3c12)C1=CC=CC1,-4.08
[nH]1-c2c3[SiH2]cc-c3c3c[nH]cc3c2-c2c1ccc1c[nH]cc21,-4.45
[nH]1c2-c3ccc(cc3[SiH2]c2c2[se]ccc12)-c1cccs1,-5.21
c1ccc(s1)-c1sc(-c2cnc(s2)-c2ncncn2)c2cc[se]c12,-5.45
[nH]1ccc2c3cocc3c3c4CC(=Cc4c4=CCC=c4c3c12)c1scc2[se]ccc12,-4.61
c1ccc(o1)-c1sc(-c2[SiH2]c(cc2)-c2scc3[SiH2]ccc23)c2cc[se]c12,-4.92
c1cnc2c(c1)c1nsnc1c1c3cnc(cc3ncc21)-c1ncncn1,-6.52
c1ccc(-c2cc3[se]c4cc5ccc6nsnc6c5cc4c3cn2)c2nsnc12,-6.02
C1=Cc2cnc3c(c2[SiH2]1)c1=CCC=c1c1cc(-c2scc4[nH]ccc24)c2cocc2c31,-4.91
